clientnum,total_relationship_count,total_revolving_bal,total_amt_chng_q4_q1,total_trans_amt,total_ct_chng_q4_q1,total_trans_ct
820044333,3,2185,0.5,4157,0.758,58
820036533,2,1466,0.693,7223,0.611,87
820020258,5,962,0.827,1778,0.29,40
819997983,6,1869,0.821,1453,0.857,26
819979458,5,1789,0.931,4419,0.829,75
819977058,3,1543,0.998,3432,0.972,71
819975183,2,2179,0.738,7391,0.705,75
819969933,4,0,0.67,4193,0.811,67
819966033,6,0,0.809,2522,0.478,68
819943458,6,1000,0.694,1777,0.542,37
819752133,6,986,0.833,4695,0.872,73
819714408,6,2386,0.564,1981,1,42
819700533,5,2303,0.804,949,2,27
819690933,2,897,0.767,4059,0.778,80
819688458,6,0,0.749,2646,0.444,39
819684183,4,1546,1.135,3043,1.038,53
819647358,2,0,0.598,2413,0.606,53
819634233,5,0,0.101,1507,0.222,33
819631158,3,2219,0.796,5924,0.63,88
819628158,2,1821,0.687,14544,1.148,116
819616383,2,2004,0.696,14748,0.761,118
819612933,1,0,0.559,5472,0.591,70
819610908,1,2089,0.72,1137,0.238,26
819606258,5,1629,0.618,3876,0.774,55
819409608,4,0,0.526,1457,0.387,43
819376683,2,2027,0.749,15130,0.759,102
819363708,4,1482,0.868,3909,0.675,67
819352983,5,2008,0.691,1300,0.5,33
819351258,5,1693,0.714,5339,0.458,86
819258408,4,1106,0.501,1698,0.367,41
819214233,2,0,0.642,5138,0.68,84
819202533,3,1540,0.547,1306,0.28,32
819200133,5,642,0.76,4646,0.55,62
819196158,5,998,0.886,15013,0.841,116
819189108,6,0,0.78,4456,0.635,85
819169683,3,1650,0.788,1972,0.947,37
819160158,2,1724,0.879,8218,0.913,88
819151083,3,1775,0.54,4042,0.491,79
819129858,5,1270,0.93,1519,0.938,31
819117183,3,909,1.288,2169,1.182,48
819109308,1,2517,0.74,8080,0.704,92
819051183,4,1925,0.833,16207,0.81,114
819002508,4,0,0.88,2563,0.641,64
818993508,4,879,0.74,5021,0.744,75
818987958,5,0,0.675,14662,0.667,125
818960133,1,698,0.75,13120,0.784,91
818942433,6,1288,0.597,1562,0.5,33
818930808,3,1798,0.769,3937,0.628,70
818929158,3,0,0.545,2220,0.828,53
818926833,4,0,0.782,1944,0.75,42
818923158,5,1207,0.521,1275,0.476,31
818908833,5,0,1.026,2038,0.364,45
818906208,2,1396,2.204,1538,0.714,36
818903583,5,1597,0.775,3628,0.903,59
818901708,3,0,0.841,4539,0.765,90
818839983,3,1536,1.317,1592,1,34
818814933,3,1536,0.437,3112,0.549,79
818791833,4,1303,1.308,4750,0.9,76
818770008,6,864,1.541,1291,3.714,33
818767458,2,1130,0.823,7729,0.644,97
818763033,6,2517,1.117,4794,0.69,71
818729208,3,941,0.874,4525,0.604,77
818712633,4,1067,0.632,16100,0.608,119
818710233,6,1271,0.729,4382,0.667,70
818701383,6,1667,0.884,1641,0.667,45
818699208,4,0,0.706,2400,0.433,43
818687958,5,1436,0.845,4462,0.66,88
818502708,5,1674,0.784,4885,0.83,86
818497758,4,1271,0.574,1343,0.682,37
818476383,2,1514,0.736,7333,1,72
818459733,3,0,0.733,2276,0.6,32
818375733,3,695,0.508,1544,0.517,44
818336508,6,1650,0.717,4037,0.714,60
818326083,5,886,0.822,4385,0.717,91
818322033,6,1247,0.889,3943,0.702,80
818316108,2,1421,0.819,8063,0.714,72
818311533,5,1429,0.745,3535,0.667,65
818308533,4,0,0.82,3162,0.6,56
818305008,6,1375,0.94,3978,0.78,89
818294958,3,719,0.695,4040,0.674,77
818280108,1,0,0.708,7714,0.596,91
818259558,4,1582,0.775,3951,0.881,79
818248383,3,0,0.898,1742,1.5,35
818239983,2,1590,0.679,13016,0.616,118
818235408,2,0,0.616,15634,0.639,118
818045958,5,1745,0.559,1682,0.438,46
818034558,5,1506,0.794,2337,0.818,40
818007783,6,1590,0.657,4683,0.618,89
817988433,2,1013,0.552,4097,0.592,78
817977933,5,1531,0.778,2288,0.714,48
817970208,4,1334,0.886,4501,0.675,67
817968783,6,1499,0.649,4670,0.944,70
817965858,3,1785,0.735,3766,0.605,69
817960533,5,857,0.752,4741,0.714,84
817958733,6,958,0.607,4025,0.521,73
817951083,1,1527,0.838,14678,0.712,125
817925058,6,2401,0.779,1932,0.346,35
817908783,2,2123,0.801,14242,0.551,107
817892208,5,0,1.126,4006,0.946,72
817889583,3,0,0.826,2260,1,46
817887408,3,1148,0.649,3485,0.615,84
817686633,5,737,0.806,2856,0.5,39
817663908,5,1335,0.914,1137,0.929,27
817616433,6,0,0.68,4268,0.725,69
817607358,3,0,0.767,2227,0.63,44
817422408,3,1118,0.788,4110,1.152,71
817382958,5,0,0.57,4894,0.854,89
817337958,2,1176,0.627,3796,1.056,74
817332483,6,0,0.875,2445,0.593,43
817293258,1,2517,0.726,4017,0.853,63
817288458,3,1737,0.985,5859,0.783,82
817285758,5,0,0.676,1721,0.514,56
817247658,6,0,0.833,3814,1.03,67
817245183,6,1014,1.437,1979,0.667,40
817240833,4,1591,0.738,5023,0.733,78
817236708,6,1720,0.538,3943,0.698,73
817197333,6,956,0.832,2678,0.471,50
817188408,4,1832,0.839,4679,0.861,67
817144458,5,1228,1.132,2580,0.971,67
817142433,5,2307,0.637,1725,1.071,29
817108083,3,1341,0.309,1625,0.36,34
817094283,5,903,0.773,5173,0.733,78
817089408,3,1754,0.865,4413,0.725,69
817086783,4,2162,0.924,2005,0.684,32
817041408,3,1549,0.768,4519,0.708,82
817038333,4,725,0.791,4042,0.714,72
817035108,4,1870,0.656,15585,0.917,115
817029108,4,1611,0.955,3804,0.861,67
816890883,6,1257,0.793,2266,0.48,74
816864483,4,803,0.802,4003,0.721,74
816850458,6,0,0.823,2448,0.379,40
816843933,6,1541,1.06,1961,1,32
816841083,4,1566,0.767,4867,0.607,90
816834933,6,673,0.721,2652,0.524,64
816832383,3,2266,0.659,6932,0.744,75
816829608,6,0,0.871,1495,0.393,39
816826008,1,998,0.619,4630,0.714,84
816776283,5,1797,1.314,1534,0.875,30
816772908,6,1793,0.767,4533,0.472,78
816761433,5,764,0.688,5291,0.684,96
816756783,6,2249,0.863,4106,0.528,81
816615633,2,2035,0.655,7075,0.648,89
816613158,2,1514,0.57,4117,0.643,69
816608808,4,0,0.631,2773,0.676,62
816606333,6,0,0.943,4218,0.571,66
816600933,3,0,0.854,1031,0.389,25
816596583,6,693,0.914,1749,0.429,50
816594183,6,1380,1.158,2005,0.59,62
816549933,4,992,0.721,4342,0.783,82
816533733,5,0,0.822,1567,0.467,44
816528333,6,1115,0.753,4546,0.903,59
816517683,4,1336,0.749,14719,0.855,115
816513108,3,1099,1.178,2195,0.969,63
816476658,2,1798,0.735,2921,0.692,44
816378033,6,1104,0.591,1989,0.741,47
816328308,2,0,0.684,14264,0.873,118
816325533,6,1802,0.923,2315,0.581,49
816319008,6,1917,1.075,1901,0.833,33
816315558,5,879,0.776,4439,0.604,77
816312633,6,0,0.563,2349,0.347,66
816310158,1,2263,1.044,14500,0.582,106
816263808,4,755,0.931,2760,1,56
816261858,2,2245,0.612,1821,0.696,39
816129258,2,1897,0.938,4837,0.542,74
816094233,6,1409,0.608,1692,0.652,38
816091608,4,0,0.812,4424,0.659,73
816089433,3,1581,1.146,1545,0.824,31
816086508,1,0,0.677,4624,0.587,73
816084333,5,1230,0.72,3260,1.1,63
816082233,5,1666,1.163,1311,2,33
816078708,3,1952,0.519,4014,0.525,61
816073983,2,1182,0.822,7957,0.544,88
816033783,6,957,0.576,2099,0.417,34
816013383,3,0,1.016,1712,0.286,27
815908908,3,2517,0.857,2613,0.724,50
815860008,5,2183,0.58,5109,0.733,78
815851233,6,0,0.417,1726,0.312,42
815845758,4,0,0.472,1354,0.714,24
815840283,1,1893,0.813,16059,0.722,124
815838633,3,2286,0.633,1889,0.457,51
815830083,6,1215,0.667,4253,0.8,72
815826708,2,1107,0.822,14437,0.912,109
815812683,5,1433,0.811,5072,0.711,77
815789883,1,861,0.566,4728,0.761,81
815772333,6,0,0.816,4059,0.816,89
815767983,4,0,0.555,4869,0.737,66
815761908,6,0,0.896,3722,0.756,72
815756058,3,2266,0.734,4752,1.323,72
815727183,6,1443,0.934,2683,0.938,62
815613033,2,1722,0.891,14276,0.778,96
815598858,5,1779,0.503,4035,0.805,74
815596608,4,921,0.654,4615,0.6,72
815589558,6,1478,0.727,4097,0.707,70
815582358,2,1584,0.76,8852,0.759,95
815539233,1,214,0,1201,0,22
815525508,2,0,0.819,3894,0.818,60
815520333,2,1144,0.8,13513,0.597,115
815515158,6,1402,0.612,4240,0.683,69
815510883,3,2282,0.837,2576,0.85,74
815504583,3,0,0.684,2275,0.483,43
815500983,5,2001,1.334,1860,1,36
815498733,3,1848,0.634,7643,0.771,85
815484783,6,1211,0.813,1797,1.2,44
815472108,3,1045,0.952,1300,0.55,31
815353083,2,2361,0.529,1853,0.385,36
815324433,6,0,0.921,4200,0.536,86
815320383,5,0,0.717,2690,0.955,43
815315058,4,0,0.722,2520,0.452,45
815308683,4,887,1.065,3101,1,54
815299833,5,1717,1.625,2334,0.848,61
815288583,3,1591,1.409,2501,0.714,36
815253708,1,1807,0.573,4144,0.78,73
815240358,4,1501,1.063,3357,0.771,62
815230458,1,1277,0.612,14181,0.615,126
815104608,5,584,0.7,2947,0.706,87
815091333,3,2196,0.81,4705,1.2,77
815088483,4,1156,0.641,3864,0.684,64
815085708,1,2517,0.266,1861,0.278,46
815078433,2,1718,1.207,13363,0.623,99
815072283,1,1156,0.748,5110,0.63,75
815062383,3,1193,0.445,1914,0.5,33
815015283,4,1650,0.701,4025,0.59,62
815001108,3,1685,0.9,3598,0.718,67
814995933,5,1794,0.564,1724,0.452,45
814989933,1,1058,0.778,5575,0.738,73
814987983,2,683,0.85,4835,0.75,77
814852533,3,1185,0.552,1482,0.643,46
814845933,4,0,0.794,3628,0.644,74
814840833,4,2517,0.663,2393,0.682,37
814833408,3,1409,0.56,1741,0.364,45
814829583,6,0,0.76,4822,0.609,74
814785108,5,1655,0.907,4473,0.9,76
814776033,3,1678,1.006,2650,0.865,69
814765533,4,2517,1.052,2971,0.742,54
814760358,2,1997,0.718,7766,0.745,82
814752558,5,1163,0.849,2513,0.59,62
814611633,3,2154,1.13,4150,0.865,69
814593858,4,1798,0.705,1468,0.619,34
814590483,1,865,0.663,12777,0.727,95
814586958,4,2042,0.752,4624,0.705,75
814571058,4,2517,0.652,2545,0.778,64
814529508,4,686,0.81,4106,1.029,71
814513008,5,2033,0.667,1735,0.387,43
814497483,6,1393,0.468,1618,0.958,47
814489683,3,795,0.837,2596,1.034,59
814483608,1,2517,0.58,1860,0.433,43
814471983,6,0,0.919,1537,1.05,41
814459833,5,0,0.539,3042,0.528,55
814364808,5,1002,1.033,2624,1,46
814312308,5,1373,0.558,1435,0.611,29
814219008,5,867,0.725,3953,0.725,69
814195758,4,1210,0.549,4642,0.696,78
814191333,5,278,0.647,2153,0.577,41
814181433,1,1683,0.636,4242,0.73,64
814092858,5,694,0.903,4372,0.711,65
814091058,6,2517,0.722,2492,0.515,50
814086333,6,1337,0.768,1685,0.375,44
813990483,4,1384,0.904,1662,0.391,32
813971283,5,1508,0.728,3623,0.853,63
813967983,4,775,0.847,4471,0.614,71
813964383,3,1226,0.84,2568,0.735,59
813961233,5,1676,0.786,2465,0.725,88
813952233,5,2134,0.579,1413,0.394,46
813915933,3,954,0.695,1393,0.842,35
813905508,4,1188,0.63,3735,0.659,73
813901458,5,1642,0.709,14954,0.696,95
813895458,6,0,0.676,4617,0.78,89
813890883,4,0,0.583,3811,0.711,65
813814008,6,1576,0.728,1272,1.312,37
813810333,6,0,0.974,2703,1,54
813807258,6,0,0.707,4670,0.864,82
813804783,4,0,0.494,4399,0.862,54
813764283,2,1820,0.85,15657,0.81,114
813755658,6,0,0.682,3598,0.532,72
813752433,5,1986,1.214,2449,0.038,27
813573333,5,1466,0.631,1354,0.316,25
813499458,3,0,1.23,2132,0.107,31
813469458,6,673,0.595,2167,0.412,48
813453408,3,1693,0.502,1269,0.875,30
813449508,6,850,0.688,2485,0.29,40
813435108,5,0,0.763,4726,0.814,78
813427833,3,844,1.109,4812,0.604,77
813380058,3,863,0.992,3593,0.821,51
813338733,3,1382,0.91,4477,0.745,82
813261408,6,1338,0.926,3446,1,58
813247083,4,618,0.824,1357,1,26
813240408,4,836,0.701,1208,1.083,25
813234108,4,1212,0.662,3895,0.591,70
813230208,3,1782,1.351,4686,0.561,64
813213558,4,1469,0.716,3709,0.684,64
813200058,4,1786,0.524,1497,0.35,27
813182658,4,929,0.898,4408,0.681,79
813153108,2,966,0.57,14565,0.742,108
813053733,3,278,0.817,3029,0.4,49
812979408,3,0,0.761,2458,0.577,41
812973708,6,1661,1.117,3247,0.865,69
812956983,6,1989,0.707,3409,1.034,59
812809083,3,1566,0.649,2595,0.611,58
812801958,5,1401,0.903,2425,0.8,54
812794983,2,1974,0.775,7932,0.642,87
812788233,4,1305,0.542,2205,0.265,43
812785158,4,1797,0.607,4331,0.5,63
812671758,3,2176,0.752,2458,0.467,44
812653383,3,1520,0.864,4729,0.704,92
812627208,5,738,0.782,1226,0.571,33
812618883,1,2019,0.706,7774,0.583,95
812597508,6,2498,0.779,2153,0.568,58
812534958,2,1568,0.688,8443,0.865,97
812501358,4,611,0.465,4864,0.462,76
812493033,4,1110,0.63,5102,0.615,63
812488608,6,2209,0.66,4908,0.659,73
812465958,5,997,0.726,4960,0.729,83
812453283,2,1788,0.865,13692,0.828,117
812449758,2,0,0.705,2129,0.355,42
812446158,2,0,0.579,4869,0.512,65
812443458,2,0,0.712,7794,0.843,94
812441358,3,0,0.745,2660,0.712,89
812420358,3,554,0.857,949,0.133,17
812411058,3,0,0.897,2690,0.484,46
812408058,2,1082,0.629,7845,0.533,92
812406183,5,0,0.605,2207,0.64,41
812247033,5,0,0.542,3281,0.393,39
812235108,2,755,0.873,4301,1.417,58
812230308,2,1657,0.659,8444,0.449,100
812224983,1,1340,0.68,8037,0.852,100
812222208,6,863,0.892,5228,0.543,71
812218908,2,2517,0.957,2899,0.821,51
812089383,1,892,0.79,4426,0.66,88
812019933,3,2021,0.906,1797,0.586,46
811989858,6,0,0.647,3501,0.757,65
811980858,5,0,0.632,1501,0.667,35
811974483,1,723,0.793,5110,0.593,86
811970808,4,1885,0.973,3491,0.711,65
811965558,2,0,0.947,9406,0.767,106
811942983,3,1756,0.757,4836,0.721,74
811915383,6,1986,1.328,2530,0.724,50
811912608,3,1639,0.644,5077,0.74,87
811907583,1,1574,0.605,4240,0.396,67
811898133,3,2117,1.049,1334,0.6,32
811889808,3,2305,0.636,7279,0.627,83
811793433,2,2381,0.748,15071,0.717,103
811775883,4,2336,0.67,4734,0.846,96
811762383,4,1788,0.523,4908,1.152,71
811721133,5,1242,1.043,2021,0.613,50
811713408,4,1249,0.682,4897,0.723,81
811705233,6,0,0.583,4099,0.69,71
811700058,2,687,1.015,4822,0.295,57
811697958,4,755,0.783,4451,0.711,65
811604133,3,1560,0.573,1126,0.353,23
811571733,4,1876,0.606,2625,0.364,45
811554708,4,1434,0.472,3609,0.551,76
811534983,5,1069,0.87,1943,0.621,47
811532208,3,1170,0.95,3634,0.676,62
811527933,3,1758,0.8,2291,0.773,39
811475733,2,0,0.694,2432,0.6,48
811467708,4,1431,1.019,2390,0.722,62
811463283,3,1389,0.917,3283,1.273,50
811457058,5,2005,0.659,1931,0.806,56
811140933,4,1786,0.876,5219,0.75,63
811111083,5,2517,0.583,1458,0.696,39
811095483,3,2517,0.569,1732,0.458,35
811081083,5,1183,0.617,4359,0.857,78
811076883,1,0,0.465,5056,0.853,63
811035483,2,0,0.521,1641,0.591,35
811013658,4,871,0.606,3221,0.581,68
811005858,4,0,0.916,2914,0.591,70
810986883,5,1898,0.772,4808,0.694,83
810974958,5,1760,0.869,2447,0.429,40
810875958,1,395,0.711,2473,0.571,44
810868758,5,1687,0.482,2384,1.167,52
810856833,3,1025,0.694,1907,0.926,52
810789708,4,0,0.713,4587,0.878,92
810667158,3,974,0.677,4344,0.596,75
810586833,6,857,0.481,3429,0.696,78
810545733,3,1480,0.631,4228,0.658,63
810493458,6,1349,0.723,4388,0.6,72
810449883,6,1915,0.794,1270,0.588,27
810347208,6,2264,1.975,1330,0.722,31
810321933,5,1054,0.552,1898,1.571,36
810271083,1,0,0.489,2164,0.606,53
810261633,2,1727,0.88,14991,0.9,95
810220833,3,2086,0.745,1562,0.955,43
810201783,5,1328,0.722,2740,0.512,62
810040908,1,824,0.809,16220,0.69,120
809990883,6,1773,0.574,2038,0.362,64
809984133,3,1887,0.831,2730,0.7,68
809978733,3,746,0.913,4415,0.878,77
