clientnum,customer_age,gender,education_level,marital_status,income_category
708688608,62,F,High School,Married,Less than $40K
708689958,48,F,Unknown,Unknown,Less than $40K
708692583,44,F,High School,Single,Less than $40K
708693558,50,F,High School,Single,Less than $40K
708694983,55,F,Uneducated,Unknown,Less than $40K
708697983,56,M,High School,Unknown,$120K +
708699108,39,F,High School,Single,Less than $40K
708701358,39,F,Uneducated,Single,Less than $40K
708702258,40,F,Uneducated,Single,Unknown
708703308,35,F,Unknown,Married,$40K - $60K
708704433,36,F,High School,Single,Unknown
708705783,47,M,Doctorate,Married,$60K - $80K
708706833,39,F,Uneducated,Divorced,Unknown
708707808,57,M,Graduate,Unknown,$60K - $80K
708708858,50,F,Graduate,Single,Less than $40K
708710283,45,M,Doctorate,Married,$120K +
708711483,57,M,Unknown,Married,$80K - $120K
708712833,45,F,Graduate,Married,Less than $40K
708714108,42,F,High School,Single,Less than $40K
708720558,44,M,College,Married,$60K - $80K
708721533,56,F,Graduate,Married,Less than $40K
708722583,39,F,Uneducated,Single,Less than $40K
708723858,48,F,Graduate,Single,Less than $40K
708724908,47,F,High School,Single,Less than $40K
708726708,42,F,Graduate,Single,$40K - $60K
708727983,62,M,Uneducated,Single,$60K - $80K
708731658,53,F,High School,Married,Less than $40K
708733983,50,F,Doctorate,Single,$40K - $60K
708735183,35,F,High School,Married,Less than $40K
708736608,40,M,Graduate,Married,$120K +
708740808,45,M,Graduate,Married,$40K - $60K
708741633,52,M,High School,Married,$60K - $80K
708744933,35,M,High School,Married,$60K - $80K
708745983,37,F,Unknown,Married,$40K - $60K
708747708,43,M,Graduate,Married,$80K - $120K
708748833,37,F,Graduate,Single,$40K - $60K
708753633,45,F,Doctorate,Married,$40K - $60K
708754833,48,F,Uneducated,Single,Unknown
708757233,44,F,High School,Married,Less than $40K
708758658,49,M,Graduate,Married,$80K - $120K
708759408,48,F,Uneducated,Single,$40K - $60K
708760458,47,M,High School,Single,$80K - $120K
708761733,52,F,High School,Married,Unknown
708765933,46,M,Post-Graduate,Married,$60K - $80K
708768258,51,F,Doctorate,Married,Less than $40K
708770883,43,M,Uneducated,Married,$80K - $120K
708772308,41,M,Uneducated,Married,$80K - $120K
708773583,52,F,Graduate,Unknown,$40K - $60K
708774708,47,F,Graduate,Unknown,$40K - $60K
708776658,54,M,Unknown,Married,$80K - $120K
708780783,43,F,Graduate,Single,$40K - $60K
708784083,47,F,Uneducated,Single,Less than $40K
708784908,47,F,Graduate,Unknown,Unknown
708788583,64,F,College,Unknown,Less than $40K
708790833,42,M,Uneducated,Unknown,$120K +
708793008,46,M,Doctorate,Divorced,$80K - $120K
708794133,46,F,High School,Unknown,Less than $40K
708796458,30,F,Graduate,Single,Less than $40K
708797583,49,F,Unknown,Single,Unknown
708798483,37,F,Unknown,Single,Unknown
708799983,40,M,Post-Graduate,Married,$60K - $80K
708801108,57,F,Uneducated,Single,Less than $40K
708804633,44,F,Doctorate,Divorced,Less than $40K
708805908,30,M,Graduate,Married,Less than $40K
708807483,51,F,Graduate,Married,$40K - $60K
708809283,41,F,Graduate,Divorced,$40K - $60K
708811233,37,M,Graduate,Married,$80K - $120K
708812133,49,F,Graduate,Married,Unknown
708813033,47,M,Graduate,Single,$40K - $60K
708816408,41,M,Uneducated,Single,$80K - $120K
708817608,41,F,High School,Married,Unknown
708818508,36,M,Unknown,Married,Less than $40K
708820308,47,M,Post-Graduate,Unknown,$80K - $120K
708821733,43,F,Unknown,Single,$40K - $60K
708822783,53,F,High School,Single,Less than $40K
708823908,41,M,Graduate,Single,$60K - $80K
708824958,50,F,High School,Single,Less than $40K
708826158,45,F,Uneducated,Divorced,$40K - $60K
708828258,55,M,College,Married,$120K +
708829758,41,M,High School,Married,$60K - $80K
708831858,43,F,Uneducated,Married,Less than $40K
708833133,40,F,Graduate,Divorced,Less than $40K
708834483,46,M,Doctorate,Married,$80K - $120K
708837858,44,F,Doctorate,Unknown,Less than $40K
708838908,49,F,Unknown,Single,$40K - $60K
708841233,41,M,College,Married,$80K - $120K
708846183,48,M,College,Single,$60K - $80K
708848208,52,M,Uneducated,Single,$80K - $120K
708849858,44,M,Doctorate,Single,$120K +
708856983,36,M,Post-Graduate,Married,$120K +
708859158,47,F,Graduate,Single,$40K - $60K
708860358,38,M,High School,Married,$80K - $120K
708862233,44,F,Graduate,Married,$40K - $60K
708863733,35,M,Unknown,Single,$40K - $60K
708864708,46,M,College,Unknown,$80K - $120K
708866133,43,M,Graduate,Married,$80K - $120K
708867408,52,M,High School,Married,$60K - $80K
708868233,68,M,High School,Married,Less than $40K
708869283,50,M,High School,Married,$80K - $120K
708870408,53,M,Unknown,Single,Less than $40K
708871158,60,M,Graduate,Single,$60K - $80K
708873183,47,M,Post-Graduate,Single,$60K - $80K
708874533,45,F,College,Married,Less than $40K
708876183,51,M,High School,Single,$60K - $80K
708877458,50,F,Uneducated,Married,Unknown
708878508,45,F,High School,Married,Less than $40K
708879483,48,F,College,Divorced,Less than $40K
708880683,49,M,College,Married,$40K - $60K
708881583,50,M,Uneducated,Married,$40K - $60K
708884658,48,F,Graduate,Married,Less than $40K
708885558,56,F,High School,Single,Less than $40K
708886533,50,M,Graduate,Single,$120K +
708887433,65,M,Graduate,Single,Less than $40K
708888633,52,M,Doctorate,Married,$80K - $120K
708890133,46,F,College,Married,Unknown
708890958,55,M,Graduate,Single,$120K +
708892833,37,M,Graduate,Married,$120K +
708894183,53,M,College,Single,$120K +
708895158,46,M,Unknown,Married,$80K - $120K
708897408,46,M,College,Single,$60K - $80K
708899283,40,F,Uneducated,Single,Unknown
708900408,52,F,Graduate,Divorced,Unknown
708902883,55,M,Graduate,Single,$120K +
708905733,45,M,Uneducated,Single,$60K - $80K
708907833,38,F,High School,Single,Unknown
708908883,37,F,Graduate,Divorced,Less than $40K
708911508,50,F,Unknown,Married,Less than $40K
708913233,37,M,High School,Married,$40K - $60K
708916083,49,F,Doctorate,Unknown,Less than $40K
708917133,48,M,High School,Single,$80K - $120K
708918558,37,F,Graduate,Married,$40K - $60K
708923658,41,F,Unknown,Unknown,Less than $40K
708924783,43,M,Graduate,Divorced,$80K - $120K
708927108,53,M,Graduate,Married,$120K +
708928008,34,F,High School,Single,$40K - $60K
708928908,39,F,Graduate,Single,Less than $40K
708931908,48,M,High School,Single,$40K - $60K
708937608,37,F,High School,Single,Less than $40K
708938508,63,M,High School,Married,$40K - $60K
708942408,46,F,Uneducated,Single,$40K - $60K
708944958,47,M,Uneducated,Single,$60K - $80K
708946008,46,F,College,Married,Less than $40K
708947208,36,M,Graduate,Single,$80K - $120K
708948483,54,M,Graduate,Married,$80K - $120K
708949908,50,M,Graduate,Divorced,$120K +
708952758,41,F,College,Married,Less than $40K
708953883,53,M,Unknown,Married,$80K - $120K
708957183,48,M,Unknown,Divorced,$40K - $60K
708959583,47,M,High School,Married,$60K - $80K
708960858,40,M,High School,Married,$80K - $120K
708963258,46,M,College,Married,$60K - $80K
708964683,48,F,College,Unknown,Unknown
708967608,53,F,Graduate,Single,Less than $40K
708968733,47,M,Uneducated,Married,$80K - $120K
708969633,42,M,Uneducated,Unknown,$80K - $120K
708971583,38,F,Uneducated,Single,Less than $40K
708972783,48,F,College,Married,Less than $40K
708974283,50,M,Graduate,Married,$60K - $80K
708976908,40,M,Post-Graduate,Single,$80K - $120K
708980283,34,M,High School,Married,$80K - $120K
708982158,48,F,Graduate,Single,Less than $40K
708983658,51,M,Uneducated,Single,$120K +
708989358,37,F,Unknown,Married,Less than $40K
708992733,50,F,High School,Married,Less than $40K
708995283,50,F,Graduate,Unknown,Unknown
708996708,55,M,Graduate,Single,$80K - $120K
708997833,49,F,Doctorate,Single,$40K - $60K
708998583,47,F,Post-Graduate,Married,Less than $40K
709000008,45,M,Unknown,Single,$80K - $120K
709005633,62,M,High School,Single,$60K - $80K
709007883,37,M,Graduate,Married,Less than $40K
709008708,47,M,College,Married,Less than $40K
709009833,54,M,Graduate,Married,$40K - $60K
709012083,39,M,Uneducated,Married,Less than $40K
709013208,40,M,Uneducated,Single,$80K - $120K
709014558,49,M,Uneducated,Married,$60K - $80K
709015833,42,M,Graduate,Single,$60K - $80K
709017258,51,F,Unknown,Married,Less than $40K
709019283,47,M,College,Married,$80K - $120K
709022883,44,F,College,Married,Less than $40K
709025583,53,M,High School,Married,$80K - $120K
709028208,44,F,Graduate,Married,Unknown
709029408,41,M,Graduate,Married,$60K - $80K
709035708,38,F,Unknown,Married,Less than $40K
709039533,43,F,Unknown,Unknown,Less than $40K
709040508,57,M,Uneducated,Married,$120K +
709042908,51,F,College,Married,$40K - $60K
709044183,47,F,Unknown,Married,Unknown
709045683,42,F,Uneducated,Married,Unknown
709046958,46,M,Unknown,Married,$60K - $80K
709051533,46,F,Graduate,Married,$40K - $60K
709052883,47,F,High School,Single,$40K - $60K
709054083,50,F,Graduate,Unknown,Less than $40K
709056558,43,F,College,Married,$40K - $60K
709058808,56,F,College,Married,Less than $40K
709061658,44,F,Graduate,Single,Less than $40K
709064208,43,F,Uneducated,Single,Less than $40K
709065483,40,F,College,Divorced,$40K - $60K
709066983,50,M,High School,Married,$120K +
709068183,53,M,College,Single,$60K - $80K
709071408,56,F,Graduate,Single,$40K - $60K
709074108,36,M,College,Single,$60K - $80K
709075533,41,M,Uneducated,Single,$80K - $120K
709077933,26,F,High School,Married,Less than $40K
709078908,48,F,High School,Single,Less than $40K
709079883,45,F,Doctorate,Married,Less than $40K
709080783,56,F,Graduate,Single,Less than $40K
709081683,65,M,High School,Single,Less than $40K
709082808,53,F,High School,Married,Less than $40K
709085358,36,M,Graduate,Single,$60K - $80K
709086933,40,F,College,Single,Less than $40K
709087983,35,F,Doctorate,Single,Less than $40K
709094358,51,F,Graduate,Single,Less than $40K
709096908,57,M,Graduate,Married,$120K +
709098108,45,F,Graduate,Married,Unknown
709100283,36,F,High School,Single,Unknown
709101258,41,F,High School,Divorced,Less than $40K
709102458,47,M,High School,Single,$80K - $120K
709103358,39,F,College,Single,Less than $40K
709104333,50,M,Post-Graduate,Married,$120K +
709106358,40,M,Uneducated,Married,$60K - $80K
709108533,49,M,Graduate,Married,$80K - $120K
709110633,41,M,Graduate,Single,$80K - $120K
709112508,42,F,College,Single,Less than $40K
709117533,42,M,High School,Single,$80K - $120K
709120008,43,M,High School,Single,$60K - $80K
709121283,54,M,Uneducated,Married,Less than $40K
709122483,56,M,Graduate,Married,$60K - $80K
709123908,43,F,Graduate,Married,$40K - $60K
709124883,49,M,College,Married,$80K - $120K
709126833,42,M,College,Unknown,$120K +
709127808,48,M,Post-Graduate,Divorced,$60K - $80K
709131033,65,F,Graduate,Unknown,Unknown
709134333,45,F,Graduate,Unknown,Less than $40K
709137558,52,M,Uneducated,Unknown,$80K - $120K
709140858,57,F,College,Single,Less than $40K
709141908,53,M,Graduate,Married,$80K - $120K
709143183,52,F,Doctorate,Married,$40K - $60K
709145958,43,F,Unknown,Married,Less than $40K
709149408,36,M,Uneducated,Married,$60K - $80K
709150608,30,F,Unknown,Married,Less than $40K
709153008,37,M,High School,Married,$40K - $60K
709157133,39,M,Unknown,Divorced,$80K - $120K
709158333,44,M,Graduate,Single,$60K - $80K
709159308,42,F,High School,Single,Less than $40K
709161108,44,M,Unknown,Single,$60K - $80K
709163358,41,M,Unknown,Single,$60K - $80K
709164408,32,M,Uneducated,Married,Less than $40K
709165533,47,M,Doctorate,Unknown,$120K +
709166883,39,F,Uneducated,Single,Unknown
709169133,35,F,High School,Married,Unknown
709170108,60,F,Unknown,Single,$40K - $60K
709171308,30,M,High School,Married,$60K - $80K
709173108,54,F,Graduate,Married,Unknown
709175208,50,F,Uneducated,Single,Less than $40K
709176108,56,F,Post-Graduate,Unknown,Less than $40K
709178733,50,F,Post-Graduate,Married,$40K - $60K
709179708,40,M,Graduate,Divorced,$60K - $80K
709183683,31,F,Uneducated,Single,Less than $40K
709185108,38,M,High School,Married,$60K - $80K
709186983,49,M,Uneducated,Married,$80K - $120K
709188108,45,M,Graduate,Single,$60K - $80K
709192233,50,F,Unknown,Married,Unknown
709198158,50,F,Graduate,Single,Less than $40K
709199358,60,M,Uneducated,Married,Less than $40K
709200633,55,F,Graduate,Single,Unknown
709204158,36,F,Post-Graduate,Single,Less than $40K
709206333,44,F,Graduate,Single,$40K - $60K
709207458,44,M,Graduate,Married,$40K - $60K
709208808,50,F,Uneducated,Married,Less than $40K
709210833,48,F,Doctorate,Married,$40K - $60K
709212183,53,F,Graduate,Married,Less than $40K
709213458,42,M,High School,Married,$80K - $120K
709214358,39,F,Graduate,Divorced,Unknown
709215708,49,M,Post-Graduate,Unknown,$60K - $80K
709216533,52,M,College,Married,$80K - $120K
709217358,40,M,Post-Graduate,Married,$80K - $120K
709219533,53,M,High School,Married,$60K - $80K
709220583,34,M,Graduate,Divorced,$80K - $120K
709222008,41,M,Unknown,Single,$80K - $120K
709224033,53,M,Uneducated,Single,$60K - $80K
709224858,53,M,Post-Graduate,Married,$80K - $120K
709225758,48,F,Post-Graduate,Married,Unknown
709227033,53,M,Graduate,Single,$80K - $120K
709229358,46,F,Uneducated,Single,Less than $40K
709230708,56,M,Uneducated,Single,Less than $40K
709231683,36,F,Graduate,Unknown,$40K - $60K
709232808,44,F,Unknown,Divorced,$40K - $60K
709235058,46,M,College,Married,$40K - $60K
709236633,40,F,Uneducated,Divorced,$40K - $60K
709238358,51,F,Uneducated,Married,Unknown
709239483,49,F,Graduate,Married,$40K - $60K
709243533,49,F,Unknown,Single,Less than $40K
709245783,44,F,Graduate,Married,Unknown
709246683,62,M,Unknown,Single,Unknown
709247808,53,F,Unknown,Unknown,Less than $40K
709249083,40,M,Unknown,Single,$60K - $80K
709250508,63,M,Uneducated,Single,Less than $40K
709253433,50,F,Uneducated,Married,$40K - $60K
709257708,47,F,High School,Single,Less than $40K
709259958,53,F,Graduate,Single,Less than $40K
709261383,56,F,Graduate,Married,$40K - $60K
709265208,47,F,Graduate,Single,Less than $40K
709267308,62,M,Graduate,Married,$80K - $120K
709269708,45,M,Graduate,Single,$120K +
709272333,59,F,Uneducated,Unknown,Less than $40K
709273383,54,F,Unknown,Married,Unknown
709274583,40,M,High School,Married,$120K +
709275558,54,M,Graduate,Single,$60K - $80K
709276908,38,F,High School,Single,$40K - $60K
709278258,54,M,Unknown,Married,$40K - $60K
709279608,45,M,High School,Married,$80K - $120K
709283358,43,F,Unknown,Married,Less than $40K
709284333,36,M,Uneducated,Divorced,$120K +
709285683,48,M,Unknown,Divorced,$60K - $80K
709288383,32,M,Graduate,Divorced,$80K - $120K
709289358,46,M,Graduate,Single,$80K - $120K
709296558,53,M,Graduate,Single,$120K +
709297608,38,M,College,Single,$80K - $120K
709300458,48,M,Graduate,Unknown,Less than $40K
709306983,44,F,Post-Graduate,Married,Less than $40K
709307808,59,F,High School,Married,$40K - $60K
709309308,50,M,College,Unknown,$80K - $120K
