clientnum,attrition_flag,dependent_count,card_category,months_on_book,months_inactive_12_mon,contacts_count_12_mon,credit_limit,avg_open_to_buy,avg_utilization_ratio
718867683,Existing Customer,1,Blue,55,3,4,2720,816,0.7
717551358,Existing Customer,0,Blue,55,1,4,3556,1039,0.708
813573333,Existing Customer,1,Blue,55,1,4,2661,1195,0.551
715612983,Existing Customer,1,Blue,55,2,4,6463,4803,0.257
719161683,Existing Customer,0,Blue,55,1,4,2508,928,0.63
814497483,Existing Customer,0,Blue,55,1,2,6479,5086,0.215
718016808,Existing Customer,0,Blue,55,1,0,2064,782,0.621
802884933,Existing Customer,1,Blue,55,2,3,3264,1916,0.413
714731208,Existing Customer,0,Blue,55,2,2,1651,218,0.868
711750183,Existing Customer,2,Gold,55,1,3,15987,14642,0.084
721295658,Existing Customer,1,Blue,55,1,4,34516,31999,0.073
815085708,Attrited Customer,0,Blue,55,5,5,10882,8365,0.231
710915358,Existing Customer,0,Blue,55,1,2,14963,13347,0.108
737921733,Attrited Customer,1,Blue,55,3,3,1892,288,0.848
813755658,Existing Customer,1,Blue,55,2,1,11524,11524,0
717103758,Attrited Customer,0,Blue,55,0,2,18550,18550,0
789204933,Existing Customer,1,Blue,55,2,4,8963,8963,0
809071083,Existing Customer,1,Blue,55,1,0,2346,196,0.916
794784633,Existing Customer,0,Blue,55,1,2,2214,91,0.959
827635083,Existing Customer,0,Blue,55,3,3,1438.3,683.3,0.525
798996183,Existing Customer,0,Blue,55,2,3,2194,682,0.689
806428908,Existing Customer,1,Blue,55,3,3,13397,13397,0
710903358,Existing Customer,0,Blue,55,2,1,6352,4966,0.218
713037333,Existing Customer,1,Blue,55,1,2,21430,21430,0
772539558,Existing Customer,0,Blue,55,3,0,2022,2022,0
715532208,Existing Customer,1,Blue,55,3,2,4010,2506,0.375
719294433,Existing Customer,1,Blue,55,3,1,16312,15792,0.032
785351133,Existing Customer,1,Blue,55,3,3,1438.3,1438.3,0
737052258,Existing Customer,1,Blue,55,1,1,5284,2767,0.476
820694133,Attrited Customer,0,Blue,55,1,3,5549,5549,0
824763783,Existing Customer,0,Blue,55,2,3,2645,1518,0.426
798546408,Existing Customer,1,Blue,55,3,2,8283,6839,0.174
816328308,Existing Customer,0,Blue,55,1,3,3773,3773,0
804158583,Existing Customer,1,Silver,55,2,3,13399,11943,0.109
813901458,Existing Customer,1,Silver,55,5,3,34516,32874,0.048
718455633,Existing Customer,0,Gold,55,3,2,7469,4952,0.337
710821833,Existing Customer,1,Blue,54,2,3,9095,7508,0.174
711525033,Existing Customer,0,Blue,54,4,2,3171,992,0.687
815500983,Existing Customer,1,Blue,54,3,0,2890,889,0.692
710027508,Existing Customer,0,Blue,54,2,0,1616,569,0.648
709494483,Existing Customer,0,Blue,54,2,1,2420,508,0.79
778573233,Existing Customer,1,Blue,54,2,2,3102,1011,0.674
708162558,Existing Customer,0,Blue,54,1,2,3250,1258,0.613
716174433,Existing Customer,1,Blue,54,3,3,2888,1754,0.393
715049583,Existing Customer,1,Blue,54,3,3,3398,1057,0.689
826723308,Existing Customer,3,Blue,54,1,4,3452,1364,0.605
794113758,Existing Customer,0,Blue,54,1,2,9592,7624,0.205
788210583,Existing Customer,0,Blue,54,3,4,1438.3,1438.3,0
824157858,Existing Customer,3,Blue,54,3,3,18713,17691,0.055
780557658,Existing Customer,0,Blue,54,3,2,11827,11827,0
764776833,Existing Customer,0,Blue,54,3,2,3077,1431,0.535
720863133,Existing Customer,1,Blue,54,3,4,3213,696,0.783
710251608,Existing Customer,1,Blue,54,3,4,2941,1768,0.399
824192658,Existing Customer,3,Blue,54,2,3,8886,8886,0
719810583,Existing Customer,0,Blue,54,3,2,2140,779,0.636
826130133,Existing Customer,2,Blue,54,2,4,31680,29868,0.057
720016308,Existing Customer,1,Blue,54,2,2,1927,608,0.684
789193383,Existing Customer,0,Blue,54,1,5,2644,953,0.64
772277508,Existing Customer,1,Blue,54,2,2,2209,2209,0
786087633,Existing Customer,0,Blue,54,1,0,2759,258,0.906
715746633,Existing Customer,0,Blue,54,1,2,5577,4888,0.124
820346133,Existing Customer,2,Blue,54,1,2,9344,8010,0.143
756629133,Existing Customer,1,Blue,54,2,2,2721,2721,0
711238908,Existing Customer,0,Blue,54,5,2,7699,5941,0.228
827964858,Attrited Customer,1,Blue,54,5,3,3266,2407,0.263
714691683,Existing Customer,1,Blue,54,1,4,13284,12677,0.046
712554183,Existing Customer,2,Blue,54,3,2,3009,2288,0.24
804829533,Attrited Customer,0,Blue,54,6,6,24621,24150,0.019
719749083,Existing Customer,0,Blue,54,2,0,7098,4874,0.313
709081683,Existing Customer,1,Blue,54,1,3,4599,3161,0.313
717965808,Existing Customer,0,Blue,54,1,4,9383,8554,0.088
708657033,Existing Customer,2,Blue,54,3,2,2694,771,0.714
803657133,Existing Customer,1,Blue,54,3,3,1848,440,0.762
719504433,Existing Customer,0,Silver,54,3,3,18064,16369,0.094
771942333,Existing Customer,1,Blue,54,2,2,5363,4054,0.244
806140383,Attrited Customer,2,Blue,54,2,2,2791,395,0.858
827062158,Existing Customer,2,Blue,54,3,2,22981,21285,0.074
712111608,Existing Customer,2,Blue,54,1,3,1438.3,1438.3,0
769709058,Existing Customer,1,Blue,54,2,1,3618,2646,0.269
801363633,Existing Customer,2,Blue,54,2,2,3356,1692,0.496
715038033,Existing Customer,1,Blue,54,3,1,7169,6540,0.088
769152783,Attrited Customer,2,Blue,54,6,2,8141,6330,0.222
788327358,Existing Customer,1,Blue,54,1,3,9070,6973,0.231
823648983,Existing Customer,1,Blue,54,3,1,5182,3723,0.282
710213508,Existing Customer,1,Blue,54,3,3,23355,22294,0.045
794132808,Existing Customer,0,Blue,54,3,3,13035,11750,0.099
790201158,Existing Customer,1,Silver,54,2,3,13062,11331,0.133
710679933,Attrited Customer,1,Blue,54,5,4,15633,15633,0
713924283,Attrited Customer,0,Blue,54,1,4,11859,10215,0.139
767712558,Attrited Customer,1,Blue,53,3,3,14979,14979,0
820596183,Existing Customer,2,Blue,53,3,0,24407,22012,0.098
771809733,Attrited Customer,0,Blue,53,3,3,3353,3353,0
712299858,Existing Customer,1,Blue,53,3,3,2077,506,0.756
814995933,Existing Customer,3,Blue,53,3,2,5798,4004,0.309
789337233,Existing Customer,1,Blue,53,6,2,2880,518,0.82
796532958,Existing Customer,0,Blue,53,3,2,5512,4388,0.204
718193958,Existing Customer,0,Blue,53,3,2,2402,674,0.719
816594183,Existing Customer,2,Blue,53,2,3,2019,639,0.684
713989233,Existing Customer,0,Blue,53,2,3,14434,12507,0.134
713135883,Existing Customer,0,Blue,53,3,0,4315,3598,0.166
715232058,Existing Customer,0,Blue,53,1,2,5561,4127,0.258
709465758,Existing Customer,1,Blue,53,1,3,1438.3,1438.3,0
709662708,Existing Customer,1,Blue,53,3,3,3506,1902,0.458
714078558,Attrited Customer,1,Blue,53,1,1,5249,5249,0
821836008,Existing Customer,2,Blue,53,2,4,34516,32417,0.061
720445533,Existing Customer,1,Blue,53,3,3,3346,2424,0.276
827631483,Existing Customer,1,Blue,53,2,4,25058,23348,0.068
768460908,Existing Customer,1,Blue,53,3,3,6035,4643,0.231
783364233,Existing Customer,0,Blue,53,2,3,4241,4241,0
787643658,Existing Customer,0,Blue,53,1,4,12554,10385,0.173
814593858,Existing Customer,3,Blue,53,1,2,6103,4305,0.295
710749458,Existing Customer,0,Blue,53,1,3,5462,3598,0.341
719431608,Existing Customer,0,Blue,53,1,4,3118,1590,0.49
714013083,Existing Customer,2,Blue,53,2,4,3067,1193,0.611
769095558,Existing Customer,1,Blue,53,2,2,9055,7495,0.172
716102583,Existing Customer,1,Blue,53,1,3,2675,158,0.941
772202058,Existing Customer,0,Blue,53,3,4,2084,437,0.79
716647983,Existing Customer,2,Blue,53,3,1,7712,6750,0.125
721014858,Existing Customer,0,Blue,53,1,2,2942,920,0.687
708590658,Existing Customer,1,Blue,53,3,2,15965,13653,0.145
710458758,Existing Customer,0,Blue,53,3,5,4161,1670,0.599
719207733,Existing Customer,0,Blue,53,2,0,3396,2594,0.236
802890333,Existing Customer,1,Blue,53,1,3,2182,624,0.714
711802758,Existing Customer,1,Blue,53,1,2,6128,4233,0.309
768364233,Existing Customer,1,Blue,53,2,5,5446,3561,0.346
719961183,Existing Customer,0,Blue,53,3,2,2271,993,0.563
773503308,Existing Customer,1,Blue,53,5,4,2192,623,0.716
806637558,Existing Customer,1,Blue,53,2,5,1438.3,1438.3,0
717271983,Existing Customer,0,Silver,53,3,2,34516,33128,0.04
770146008,Existing Customer,1,Blue,53,3,2,2136,634,0.703
712852233,Existing Customer,0,Blue,53,3,4,6663,5898,0.115
720695583,Existing Customer,1,Blue,53,2,3,10775,8988,0.166
826467333,Existing Customer,1,Blue,53,1,3,7976,7391,0.073
710850633,Existing Customer,0,Blue,53,2,2,2507,894,0.643
778242708,Existing Customer,1,Silver,53,4,4,25502,24052,0.057
785529708,Existing Customer,1,Blue,53,2,2,34516,34516,0
768420558,Existing Customer,0,Blue,53,3,4,4830,3361,0.304
709523508,Existing Customer,0,Silver,53,1,2,11097,11097,0
713977308,Existing Customer,1,Blue,53,3,4,34516,32455,0.06
709873683,Existing Customer,0,Silver,53,2,1,16541,15113,0.086
818814933,Existing Customer,1,Blue,53,3,1,6960,5424,0.221
708252108,Existing Customer,0,Blue,53,3,2,7362,5455,0.259
802247658,Attrited Customer,2,Blue,53,5,4,2699,277,0.897
793395933,Existing Customer,1,Blue,53,3,3,2716,976,0.641
718693683,Existing Customer,0,Blue,53,1,3,2418,213,0.912
788997408,Existing Customer,2,Blue,53,3,2,2195,278,0.873
713858733,Existing Customer,0,Blue,53,3,2,2566,402,0.843
712305333,Existing Customer,0,Blue,53,2,2,4386,1881,0.571
712611108,Attrited Customer,1,Blue,53,6,2,7501,4984,0.336
807136758,Attrited Customer,2,Blue,53,0,2,1944,1944,0
748194633,Existing Customer,1,Blue,53,5,3,2903,1652,0.431
781675983,Existing Customer,0,Blue,53,5,1,3054,537,0.824
811713408,Existing Customer,2,Blue,53,2,3,2642,1393,0.473
786546783,Existing Customer,0,Blue,53,2,0,1438.3,1438.3,0
789634983,Existing Customer,1,Blue,53,1,2,4188,1988,0.525
708136908,Existing Customer,0,Blue,53,2,2,2616,1815,0.306
816841083,Existing Customer,3,Blue,53,3,1,2493,927,0.628
798489258,Existing Customer,1,Blue,53,3,1,3709,2512,0.323
826783233,Existing Customer,3,Blue,53,3,2,3029,815,0.731
713739708,Existing Customer,0,Blue,53,3,3,2415,365,0.849
717384183,Existing Customer,3,Blue,53,3,1,2669,621,0.767
785487783,Existing Customer,1,Blue,53,2,0,1980,571,0.712
719401158,Existing Customer,0,Blue,53,2,3,4136,4136,0
789582483,Existing Customer,1,Blue,53,3,3,9369,7556,0.194
709764483,Attrited Customer,1,Blue,53,1,2,6157,5576,0.094
817951083,Existing Customer,1,Silver,53,3,3,15928,14401,0.096
818960133,Existing Customer,4,Blue,53,3,0,13784,13086,0.051
738406533,Existing Customer,1,Blue,52,2,2,2548,528,0.793
807986133,Existing Customer,2,Blue,52,3,3,6584,4767,0.276
755420433,Existing Customer,1,Blue,52,3,3,10133,8716,0.14
719712633,Existing Customer,1,Blue,52,4,3,1709,814,0.524
783554958,Existing Customer,4,Blue,52,1,0,32090,32090,0
708868233,Attrited Customer,0,Blue,52,3,2,1438.3,538.3,0.626
715085733,Existing Customer,0,Blue,52,1,2,2939,940,0.68
712270158,Existing Customer,0,Blue,52,2,3,2052,802,0.609
822893133,Existing Customer,1,Blue,52,1,2,17561,17561,0
713945883,Attrited Customer,2,Blue,52,2,2,2490,1977,0.206
714927333,Existing Customer,0,Blue,52,3,2,9050,7512,0.17
713967783,Existing Customer,0,Blue,52,1,1,2683,976,0.636
715848408,Existing Customer,1,Blue,52,6,1,8851,8851,0
806250783,Existing Customer,2,Blue,52,3,2,1441,1441,0
713670333,Existing Customer,1,Blue,52,3,2,2486,1022,0.589
720484908,Existing Customer,1,Blue,52,3,3,2155,2155,0
715937133,Existing Customer,1,Blue,52,2,2,4999,2700,0.46
808169358,Existing Customer,2,Blue,52,3,4,12291,10002,0.186
808681158,Existing Customer,0,Blue,52,6,4,2564,185,0.928
712868733,Existing Customer,0,Blue,52,1,2,2595,406,0.844
819202533,Existing Customer,1,Blue,52,2,3,10378,8838,0.148
804310758,Existing Customer,3,Blue,52,2,5,17934,16356,0.088
720076458,Existing Customer,2,Blue,52,2,4,10974,10974,0
710416533,Existing Customer,3,Blue,52,1,1,1454,566,0.611
712965183,Existing Customer,2,Blue,52,2,3,2689,588,0.781
827476983,Attrited Customer,2,Blue,52,5,1,3639,1461,0.599
757837458,Existing Customer,2,Blue,52,2,4,3578,2915,0.185
801994458,Existing Customer,1,Blue,52,2,3,3880,1363,0.649
781306758,Attrited Customer,2,Blue,52,2,4,3091,574,0.814
711795633,Existing Customer,0,Blue,52,3,4,3675,3675,0
816606333,Existing Customer,2,Blue,52,3,4,32409,32409,0
718515483,Attrited Customer,0,Blue,52,3,5,3570,1053,0.705
789945933,Existing Customer,1,Blue,52,3,1,1438.3,1438.3,0
781297983,Existing Customer,2,Blue,52,2,3,20410,19214,0.059
718547358,Existing Customer,2,Blue,52,3,2,2676,936,0.65
714372333,Attrited Customer,0,Blue,52,4,2,2302,2302,0
717017808,Existing Customer,0,Blue,52,1,2,9065,8424,0.071
771486933,Existing Customer,1,Blue,52,3,2,2563,321,0.875
819943458,Attrited Customer,3,Blue,52,4,3,34516,33516,0.029
813905508,Existing Customer,3,Blue,52,3,3,2002,814,0.593
711505308,Existing Customer,1,Blue,52,3,3,2636,1017,0.614
790164408,Existing Customer,1,Blue,52,3,3,2308,214,0.907
713193408,Existing Customer,0,Blue,52,3,3,2533,457,0.82
715071483,Existing Customer,1,Blue,52,2,3,2802,285,0.898
789601308,Existing Customer,3,Blue,52,5,3,12398,12398,0
803606958,Existing Customer,3,Blue,52,5,0,3085,3085,0
721011858,Existing Customer,1,Blue,52,3,3,1438.3,1438.3,0
794172033,Attrited Customer,1,Blue,52,1,3,1817,1817,0
716697708,Attrited Customer,1,Blue,52,2,4,3293,3293,0
827442858,Existing Customer,3,Blue,52,3,1,8111,6060,0.253
751143858,Existing Customer,1,Blue,52,1,1,7427,5006,0.326
716333283,Existing Customer,0,Blue,52,2,2,1869,614,0.671
719759733,Attrited Customer,0,Blue,52,4,3,1852,1852,0
772286658,Attrited Customer,1,Blue,52,4,3,14324,11817,0.175
812443458,Existing Customer,4,Blue,52,3,2,25808,25808,0
714284358,Existing Customer,1,Blue,52,1,1,2177,848,0.61
718799958,Existing Customer,1,Blue,52,3,3,13312,11338,0.148
789550458,Existing Customer,0,Silver,52,2,1,15223,13494,0.114
716721483,Attrited Customer,0,Blue,52,2,2,14458,12441,0.14
824160333,Existing Customer,2,Blue,52,2,2,23362,21909,0.062
804431283,Existing Customer,1,Blue,52,1,2,7882,6781,0.14
769206483,Existing Customer,3,Blue,52,3,3,15733,13632,0.134
778176108,Existing Customer,0,Blue,51,2,2,5504,4092,0.257
783561558,Existing Customer,4,Blue,51,2,3,16952,16952,0
827108583,Existing Customer,3,Blue,51,1,3,34516,33250,0.037
798007308,Existing Customer,3,Blue,51,1,0,8362,8362,0
789291633,Existing Customer,0,Blue,51,2,0,5450,4483,0.177
799000008,Existing Customer,2,Blue,51,1,1,26437,24965,0.056
710947683,Existing Customer,0,Blue,51,3,1,4920,3778,0.232
816600933,Attrited Customer,0,Blue,51,2,3,14501,14501,0
803595858,Attrited Customer,3,Blue,51,2,1,1438.3,1438.3,0
814833408,Existing Customer,2,Blue,51,3,4,6036,4627,0.233
716615583,Existing Customer,1,Blue,51,3,3,1795,1001,0.442
772155108,Existing Customer,0,Blue,51,3,4,1438.3,1438.3,0
789282333,Existing Customer,0,Blue,51,3,3,10826,9552,0.118
716882658,Existing Customer,2,Blue,51,2,4,2986,1354,0.547
788259558,Existing Customer,0,Blue,51,3,4,1570,542,0.655
710428308,Existing Customer,4,Blue,51,1,4,2001,448,0.776
717648783,Existing Customer,2,Blue,51,2,3,6922,5218,0.246
798140283,Existing Customer,4,Blue,51,3,1,10711,8741,0.184
773442258,Existing Customer,1,Blue,51,2,2,8571,6955,0.189
815845758,Existing Customer,4,Blue,51,2,3,1438.3,1438.3,0
780219483,Existing Customer,0,Blue,51,2,1,2250,1209,0.463
825756333,Existing Customer,0,Blue,51,3,1,2041,156,0.924
721258158,Existing Customer,1,Blue,51,3,5,11037,9546,0.135
772303458,Existing Customer,0,Blue,51,3,2,3377,2429,0.281
771649083,Existing Customer,0,Blue,51,3,4,10257,9236,0.1
811111083,Existing Customer,2,Blue,51,6,3,2863,346,0.879
826706208,Existing Customer,3,Blue,51,2,3,17198,17198,0
796170933,Existing Customer,2,Blue,51,2,4,30622,30622,0
716225433,Existing Customer,1,Blue,51,3,4,26566,24049,0.095
721385433,Existing Customer,0,Blue,51,3,4,2787,1586,0.431
737944908,Existing Customer,2,Blue,51,2,2,14976,13513,0.098
718000383,Existing Customer,1,Blue,51,3,4,23566,22419,0.049
792995808,Existing Customer,3,Blue,51,4,5,7226,5537,0.234
717886008,Existing Customer,1,Blue,51,3,2,6102,6102,0
720717108,Existing Customer,1,Blue,51,3,1,2571,1361,0.471
711372258,Existing Customer,1,Blue,51,2,2,5042,4040,0.199
715193433,Existing Customer,0,Blue,51,2,2,8476,8476,0
719309133,Existing Customer,1,Blue,51,3,4,1438.3,1438.3,0
708801108,Attrited Customer,3,Blue,51,0,3,1438.3,1438.3,0
710413533,Existing Customer,2,Blue,51,3,3,12186,11106,0.089
717708783,Existing Customer,2,Silver,51,3,4,34516,33099,0.041
713388108,Attrited Customer,0,Blue,51,2,3,5210,5210,0
718250883,Attrited Customer,2,Blue,51,3,3,3875,2478,0.361
717389433,Existing Customer,0,Silver,51,1,4,33371,33371,0
716056158,Attrited Customer,0,Blue,51,3,3,11619,11619,0
718025808,Existing Customer,0,Blue,51,3,4,5852,3917,0.331
795599883,Attrited Customer,2,Blue,51,6,2,2404,2120,0.118
712160058,Attrited Customer,2,Blue,51,5,4,1438.3,1438.3,0
772036233,Existing Customer,1,Blue,51,2,3,5711,5711,0
807587433,Attrited Customer,2,Blue,51,6,5,1438.3,1438.3,0
720190908,Existing Customer,1,Blue,51,2,4,8973,7673,0.145
720292983,Existing Customer,0,Blue,51,1,2,2230,434,0.805
709005633,Attrited Customer,0,Blue,51,2,4,18734,18734,0
802673508,Attrited Customer,2,Blue,51,5,3,8760,8760,0
801083133,Existing Customer,4,Blue,51,3,3,3545,2099,0.408
807157833,Existing Customer,4,Blue,51,1,1,3334,2062,0.382
718670808,Existing Customer,0,Blue,51,1,0,1438.3,1438.3,0
719051733,Existing Customer,0,Blue,51,2,1,2706,1817,0.329
714396558,Existing Customer,3,Blue,51,2,3,1511,1511,0
711474333,Attrited Customer,2,Blue,51,5,2,1614,1614,0
719724933,Existing Customer,1,Blue,51,4,2,2220,980,0.559
718555308,Existing Customer,1,Blue,51,4,3,3808,3095,0.187
717624708,Attrited Customer,2,Blue,51,5,3,1438.3,1438.3,0
712640583,Existing Customer,0,Blue,51,1,3,7508,5360,0.286
713177808,Existing Customer,3,Blue,51,1,0,2894,2894,0
804583833,Existing Customer,2,Blue,51,1,3,1796,553,0.692
807173358,Existing Customer,0,Blue,51,2,3,3617,2739,0.243
802460433,Attrited Customer,3,Blue,51,5,2,1438.3,1438.3,0
819690933,Existing Customer,1,Blue,51,3,1,16835,15938,0.053
788502858,Existing Customer,3,Blue,51,2,1,10021,8069,0.195
717146208,Attrited Customer,1,Blue,51,4,4,4257,1740,0.591
817988433,Existing Customer,3,Blue,51,2,2,6941,5928,0.146
811974483,Existing Customer,2,Blue,51,3,1,1466,743,0.493
710090133,Existing Customer,1,Blue,51,3,3,4049,2364,0.416
773356008,Existing Customer,2,Blue,51,3,3,5479,4279,0.219
812224983,Existing Customer,2,Blue,51,1,2,4675,3335,0.287
709934808,Existing Customer,1,Silver,51,2,1,15164,14093,0.071
770220558,Attrited Customer,3,Blue,51,6,1,5859,5859,0
767414808,Existing Customer,0,Blue,51,3,3,6996,4904,0.299
717241233,Existing Customer,1,Blue,51,3,3,6089,4748,0.22
768563658,Existing Customer,2,Blue,50,2,3,4458,2578,0.422
802013583,Existing Customer,3,Blue,50,2,0,9689,7439,0.232
818839983,Existing Customer,2,Blue,50,2,0,10916,9380,0.141
772336458,Attrited Customer,1,Blue,50,4,3,1438.3,413.3,0.713
